Kpi;From;To;Algorithm;NoOfValues;Result;Orig
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000Z;2013-11-30T23:59:59.999Z;PaPPI;21.0;54.828426403636385;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000Z;2013-11-30T23:59:59.999Z;Pripel;204.0;68.28733038348085;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000Z;2013-12-31T23:59:59.999Z;PaPPI;26.0;105.39666666666666;21.55782051282051
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000Z;2013-12-31T23:59:59.999Z;Pripel;454.0;153.66741099374016;21.55782051282051
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000Z;2014-01-31T23:59:59.999Z;PaPPI;47.0;2.069166666666667;50.908967236467234
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000Z;2014-01-31T23:59:59.999Z;Pripel;491.0;174.43275228551332;50.908967236467234
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;PaPPI;56.0;1.5275;20.233728956228955
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;Pripel;474.0;190.4721615472128;20.233728956228955
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000Z;2014-03-31T23:59:59.999Z;PaPPI;68.0;1.4916666666666667;30.76099893162395
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000Z;2014-03-31T23:59:59.999Z;Pripel;549.0;236.07245329400195;30.76099893162395
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000Z;2014-04-30T23:59:59.999Z;PaPPI;75.0;73.91829103623587;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000Z;2014-04-30T23:59:59.999Z;Pripel;555.0;275.07620424360226;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000Z;2014-05-31T23:59:59.999Z;PaPPI;91.0;146.2340611759626;31.821280602636527
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000Z;2014-05-31T23:59:59.999Z;Pripel;585.0;354.9030771693884;31.821280602636527
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000Z;2014-06-30T23:59:59.999Z;PaPPI;75.0;14.11479474617231;15.366822612085771
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000Z;2014-06-30T23:59:59.999Z;Pripel;573.0;391.20998107780815;15.366822612085771
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000Z;2014-07-31T23:59:59.999Z;PaPPI;62.0;261.39353187921614;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000Z;2014-07-31T23:59:59.999Z;Pripel;618.0;453.9929318783068;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000Z;2014-08-31T23:59:59.999Z;PaPPI;81.0;1.7291666666666667;35.518660130718956
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000Z;2014-08-31T23:59:59.999Z;Pripel;607.0;485.78767632241795;35.518660130718956
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000Z;2014-09-30T23:59:59.999Z;PaPPI;71.0;154.6063132432001;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000Z;2014-09-30T23:59:59.999Z;Pripel;603.0;483.88488931733775;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000Z;2014-10-31T23:59:59.999Z;PaPPI;89.0;125.59315448169106;31.214143518518515
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000Z;2014-10-31T23:59:59.999Z;Pripel;606.0;417.1957907153729;31.214143518518515
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000Z;2014-11-30T23:59:59.999Z;PaPPI;95.0;15.218058295153554;52.437698412698424
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000Z;2014-11-30T23:59:59.999Z;Pripel;568.0;593.8449390774585;52.437698412698424
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000Z;2014-12-31T23:59:59.999Z;PaPPI;68.0;1.7722222222222221;37.991274801587295
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000Z;2014-12-31T23:59:59.999Z;Pripel;602.0;554.1050150732129;37.991274801587295
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000Z;2015-01-31T23:59:59.999Z;PaPPI;57.0;1.7605555555555557;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000Z;2015-01-31T23:59:59.999Z;Pripel;577.0;633.4465198304572;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000Z;2015-02-28T23:59:59.999Z;PaPPI;43.0;22.577562476052368;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000Z;2015-02-28T23:59:59.999Z;Pripel;562.0;433.45632824198844;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000Z;2015-03-31T23:59:59.999Z;PaPPI;9.0;1.0977777777777777;6.468055555555556
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000Z;2015-03-31T23:59:59.999Z;Pripel;585.0;597.3372303921567;6.468055555555556
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000Z;2015-04-30T23:59:59.999Z;PaPPI;8.0;13.866993197007286;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000Z;2015-04-30T23:59:59.999Z;Pripel;589.0;794.4293163538875;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000Z;2015-05-31T23:59:59.999Z;PaPPI;6.0;14.494439348606186;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000Z;2015-05-31T23:59:59.999Z;Pripel;623.0;657.9347417153996;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000Z;2015-06-30T23:59:59.999Z;PaPPI;2.0;8.150338196952509;8.243472222222223
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000Z;2015-06-30T23:59:59.999Z;Pripel;84.0;1217.4334226190479;8.243472222222223
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000Z;2013-11-30T23:59:59.999Z;PaPPI;21.0;80.98078584520788;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000Z;2013-11-30T23:59:59.999Z;Pripel;116.0;69.34161835748793;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000Z;2013-12-31T23:59:59.999Z;PaPPI;26.0;2.272222222222222;21.55782051282051
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000Z;2013-12-31T23:59:59.999Z;Pripel;225.0;176.45998651564184;21.55782051282051
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000Z;2014-01-31T23:59:59.999Z;PaPPI;47.0;100.9723704575708;50.908967236467234
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000Z;2014-01-31T23:59:59.999Z;Pripel;269.0;253.6282726423904;50.908967236467234
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;PaPPI;56.0;1.5275;20.233728956228955
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;Pripel;227.0;223.13571798493422;20.233728956228955
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000Z;2014-03-31T23:59:59.999Z;PaPPI;68.0;19.47145056701879;30.76099893162395
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000Z;2014-03-31T23:59:59.999Z;Pripel;257.0;222.03693494776834;30.76099893162395
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000Z;2014-04-30T23:59:59.999Z;PaPPI;75.0;42.72650112046243;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000Z;2014-04-30T23:59:59.999Z;Pripel;245.0;325.0332325467062;27.745370370370367
