Kpi;From;To;Algorithm;NoOfValues;Result;Orig
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;PaPPI;21.0;35.0;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;Priepel;204.0;73.92509370816603;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;PaPPI;26.0;30.0;21.557820512820513
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;Priepel;454.0;178.97625000000002;21.557820512820513
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;PaPPI;47.0;20.0;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;Priepel;490.0;220.57629319510883;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;PaPPI;56.0;4.0;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;Priepel;475.0;225.77550793650798;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;PaPPI;68.0;25.0;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;Priepel;549.0;273.88375894134475;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;PaPPI;75.0;43.0;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;Priepel;553.0;313.1670141794514;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;PaPPI;91.0;28.0;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;Priepel;586.0;402.9299305555557;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;PaPPI;75.0;1.6822222222222223;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;Priepel;571.0;443.87315107597715;15.366822612085775
